AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|C|CARCHI|BOLIVAR|9993,8200|5007,1000|0,0000|0,0000|0,0000|7567,3500|2638,2300|0,0000|0,0000|17044,9700|15000,9200
2025|1|K|COTOPAXI|LATACUNGA|45546,5400|281855,1400|0,0000|0,0000|3500,0000|747340,8900|464739,3200|0,0000|34625,9800|1246724,2900|330901,6800
2025|1|G|GUAYAS|LOMAS DE SARGENTILLO|1054405,6000|1482426,5500|0,0000|9223,8900|0,0000|521096,7300|1331727,8300|505567,2700|5361,7500|2398662,6800|2546056,0400
2025|1|I|GUAYAS|BALAO|33969,4500|366,6700|0,0000|0,0000|0,0000|13704,2300|11186,3200|0,0000|357,9100|25248,4600|34336,1200
2025|1|M|PASTAZA|SANTA CLARA|108121,6200|5566,4000|0,0000|0,0000|0,0000|11388,4600|703,5300|0,0000|835,5000|13662,2600|113688,0200
2025|1|P|CHIMBORAZO|RIOBAMBA|291376,4600|2271975,2500|0,0000|0,0000|0,0000|541911,5200|170435,7500|24076,0200|36592,7700|781610,6400|2563351,7100
2025|1|R|GUAYAS|COLIMES|1734,0000|5500,0100|0,0000|0,0000|0,0000|2483,0000|0,0000|0,0000|0,0000|2483,0000|7234,0100
2025|1|A|LOS RIOS|VALENCIA|88366,6300|14079076,7900|0,0000|599,0600|1720628,2900|1075627,1900|7463953,5600|180790,9700|166685,9100|8892392,4100|15888670,7700
2025|1|I|MORONA SANTIAGO|MORONA|202250,6200|80017,1800|237,1100|0,0000|0,0000|159815,4800|78836,3900|0,0000|25584,0600|264667,7400|282504,9100
2025|1|G|TUNGURAHUA|MOCHA|341055,8500|686603,9800|0,0000|1924,3600|0,0000|394161,0800|581088,5600|65,0000|2140,6500|981985,2500|1029584,1900
2025|1|A|LOJA|LOJA|56800,5000|1103857,8000|215,7400|0,0000|34698,0000|185884,6300|869244,9000|0,0000|2911,9600|1067066,4000|1195572,0400
2025|1|C|AZUAY|PAUTE|22004,0000|37762,9300|0,0000|0,0000|0,0000|42978,8900|7284,7600|0,0000|80,0000|52062,6800|59766,9300
2025|1|J|CAÑAR|AZOGUES|789057,5800|3641,6500|0,0000|0,0000|0,0000|502535,5100|8933,3300|6808,1800|3727,9600|532757,4400|792699,2300
2025|1|H|ESMERALDAS|QUININDE|78138,0900|762860,9600|0,0000|1193,0000|0,0000|154192,0300|546026,7100|38,6300|5146,2700|705803,7200|842192,0500
2025|1|G|NAPO|ARCHIDONA|1319402,5600|430933,7500|0,0000|50780,3000|0,0000|950755,7700|303545,2400|76170,2000|18285,5900|1420480,9400|1801116,6100
2025|1|S|MORONA SANTIAGO|GUALAQUIZA|69897,5700|15380,7400|0,0000|0,0000|8838,0800|55065,1700|13407,8500|0,0000|6290,8500|74793,1100|94116,3900
2025|1|A|COTOPAXI|SAQUISILI|21971,0000|263264,3200|0,0000|3333,3300|0,0000|53527,7100|169113,8100|0,0000|6016,1000|228657,6200|288568,6500
2025|1|D|PASTAZA|PASTAZA|0,0300|0,0000|0,0000|0,0000|0,0000|1885,5600|0,0000|0,0000|0,0000|1885,5600|0,0300
2025|1|C|ESMERALDAS|ESMERALDAS|1753188,2500|1442489,8000|0,0000|560,1600|2376925,7000|1162320,9300|2863530,2800|39663,1300|56824,3800|4143489,6600|5573163,9100
2025|1|K|IMBABURA|ANTONIO ANTE|71074,5900|124283,6200|0,0000|0,0000|0,0000|244164,8600|419606,6400|0,0000|14826,8600|678598,3600|195358,2100
2025|1|S|LOS RIOS|VENTANAS|39231,2600|112560,8700|0,0000|0,0000|0,0000|88549,8600|93274,8600|2854,1600|4894,4300|189573,3100|151792,1300
