AÑO;MES;CODIGO_SECTOR_N1;PROVINCIA;CANTON;VENTAS_NETAS_TARIFA_GRAVADA;VENTAS_NETAS_TARIFA_0;VENTAS_NETAS_TARIFA_VARIABLE;VENTAS_NETAS_TARIFA_5;EXPORTACIONES;COMPRAS_NETAS_TARIFA_GRAVADA;COMPRAS_NETAS_TARIFA_0;IMPORTACIONES;COMPRAS_RISE;TOTAL_COMPRAS;TOTAL_VENTAS
2025;1;C;CARCHI;BOLIVAR;9993,82;5007,1;0;0;0;7567,35;2638,23;0;0;17044,97;15000,92
2025;1;K;COTOPAXI;LATACUNGA;45546,54;281855,14;0;0;3500;747340,89;464739,32;0;34625,98;1246724,29;330901,68
2025;1;G;GUAYAS;LOMAS DE SARGENTILLO;1054405,6;1482426,55;0;9223,89;0;521096,73;1331727,83;505567,27;5361,75;2398662,68;2546056,04
2025;1;I;GUAYAS;BALAO;33969,45;366,67;0;0;0;13704,23;11186,32;0;357,91;25248,46;34336,12
2025;1;M;PASTAZA;SANTA CLARA;108121,62;5566,4;0;0;0;11388,46;703,53;0;835,5;13662,26;113688,02
2025;1;P;CHIMBORAZO;RIOBAMBA;291376,46;2271975,25;0;0;0;541911,52;170435,75;24076,02;36592,77;781610,64;2563351,71
2025;1;R;GUAYAS;COLIMES;1734;5500,01;0;0;0;2483;0;0;0;2483;7234,01
2025;1;A;LOS RIOS;VALENCIA;88366,63;14079076,79;0;599,06;1720628,29;1075627,19;7463953,56;180790,97;166685,91;8892392,41;15888670,77
2025;1;I;MORONA SANTIAGO;MORONA;202250,62;80017,18;237,11;0;0;159815,48;78836,39;0;25584,06;264667,74;282504,91
2025;1;G;TUNGURAHUA;MOCHA;341055,85;686603,98;0;1924,36;0;394161,08;581088,56;65;2140,65;981985,25;1029584,19
2025;1;A;LOJA;LOJA;56800,5;1103857,8;215,74;0;34698;185884,63;869244,9;0;2911,96;1067066,4;1195572,04
2025;1;C;AZUAY;PAUTE;22004;37762,93;0;0;0;42978,89;7284,76;0;80;52062,68;59766,93
2025;1;J;CAÑAR;AZOGUES;789057,58;3641,65;0;0;0;502535,51;8933,33;6808,18;3727,96;532757,44;792699,23
2025;1;H;ESMERALDAS;QUININDE;78138,09;762860,96;0;1193;0;154192,03;546026,71;38,63;5146,27;705803,72;842192,05
2025;1;G;NAPO;ARCHIDONA;1319402,56;430933,75;0;50780,3;0;950755,77;303545,24;76170,2;18285,59;1420480,94;1801116,61
2025;1;S;MORONA SANTIAGO;GUALAQUIZA;69897,57;15380,74;0;0;8838,08;55065,17;13407,85;0;6290,85;74793,11;94116,39
2025;1;A;COTOPAXI;SAQUISILI;21971;263264,32;0;3333,33;0;53527,71;169113,81;0;6016,1;228657,62;288568,65
2025;1;D;PASTAZA;PASTAZA;0,03;0;0;0;0;1885,56;0;0;0;1885,56;0,03
2025;1;C;ESMERALDAS;ESMERALDAS;1753188,25;1442489,8;0;560,16;2376925,7;1162320,93;2863530,28;39663,13;56824,38;4143489,66;5573163,91
2025;1;K;IMBABURA;ANTONIO ANTE;71074,59;124283,62;0;0;0;244164,86;419606,64;0;14826,86;678598,36;195358,21
2025;1;S;LOS RIOS;VENTANAS;39231,26;112560,87;0;0;0;88549,86;93274,86;2854,16;4894,43;189573,31;151792,13
2025;1;M;CAÑAR;CAÑAR;610339,41;69698,94;0;4447,46;543,53;310578,78;56949,23;0;2498,76;457866,38;685029,34
2025;1;M;ZAMORA CHINCHIPE;CHINCHIPE;28899,53;945,21;0;0;1700;36044,05;24310,14;320;400;65329,25;31544,74
2025;1;D;CARCHI;SAN PEDRO DE HUACA;0;0;0;0;0;242,43;848,61;0;0;1091,04;0
2025;1;C;ESMERALDAS;SAN LORENZO;14408,48;165567,63;0;0;0;37208,77;157475,79;0;0;194877,05;179976,11
2025;1;I;PASTAZA;PASTAZA;293186,19;148810,28;40914,14;0;0;231465,49;77294,5;0;14927,94;327593,19;482910,61
2025;1;O;GUAYAS;COLIMES;0;655,25;0;0;0;133120,61;4735,34;0;0;137855,95;655,25
2025;1;A;MANABI;EL CARMEN;214474,24;6350859,98;0;7112,98;156195,05;575400,55;3137953,31;11441,01;112313,48;3843450,93;6728642,25
2025;1;F;CAÑAR;AZOGUES;468540,18;51174,1;0;2736,04;0;330110,84;58835,6;0;329,65;446303,03;522450,32
2025;1;C;LOS RIOS;BABAHOYO;2565836,36;1849470,57;0;1300;244511,32;1610303,36;1372759,45;63559,83;13359;3133541,92;4661118,25
2025;1;C;TUNGURAHUA;SAN PEDRO DE PELILEO;3019317,88;6464040,93;0;6852,55;0;4594548,71;3070862,84;1934569,35;64700,86;9714077,61;9490211,36
2025;1;E;TUNGURAHUA;AMBATO;406154,62;137845,05;0;121497,4;0;360065,19;40846,13;0;23288,6;533325,79;665497,07
2025;1;V;GUAYAS;SAMBORONDON;5662,58;150;0;0;0;2255,5;6043,83;0;0;8299,33;5812,58
2025;1;F;TUNGURAHUA;TISALEO;6579,35;4296,29;0;0;0;17112,25;1497,6;0;370,5;19604,38;10875,64
2025;1;M;AZUAY;CHORDELEG;107177,94;5054,79;0;0;0;63684,88;7078,28;0;0;72502,69;112232,73
2025;1;G;MANABI;BOLIVAR;1606970,22;1818046,78;0;31420,37;273012,3;2073010,18;1426721,03;97,11;291330,92;3837240,59;3729449,67
2025;1;S;ORELLANA;LORETO;47597,49;31658,78;1,01;0;0;185143,7;19190,47;0;3373,95;207749,84;79257,28
2025;1;P;MANABI;JIPIJAPA;2134,04;68881,87;0;0;0;202214,08;8277,05;0;609,5;211100,63;71015,91
2025;1;H;AZUAY;OÑA;431,38;4129,57;0;0;0;1400,33;0;0;280;1680,33;4560,95
2025;1;T;GUAYAS;MILAGRO;2213,35;32727,1;0;0;0;5657,46;23734,03;0;0;29391,49;34940,45
2025;1;X;MANABI;PORTOVIEJO;55;0;0;0;0;445,93;0;0;0;445,93;55
2025;1;J;EL ORO;SANTA ROSA;41166,68;0;0;0;0;37493,6;2540,03;0;0;40033,63;41166,68
2025;1;N;ESMERALDAS;RIO VERDE;31193,58;48242,92;0;0;0;9036,29;276,75;0;750;10300,19;79436,5
2025;1;G;MANABI;JUNIN;505307,81;4190424,58;0;0;4895,02;504594,54;2207721,92;329768,3;2901,2;3049894,76;4700627,41
2025;1;M;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;397493,03;171672,3;0;0;0;245143,1;101267,54;0;7642,89;359408,58;569165,33
2025;1;S;IMBABURA;COTACACHI;56131,73;23017,98;0;0;8325;91352,67;18814,82;0;1769;113274,3;87474,71
